covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Age at Which Sequencing was Reported (Days),-0.005020196166512083,0.994992383957895,0.003201840332099894,-0.011295687901675643,0.0012552955686514758,0.9887678688500761,1.0012560837819129,0.0,-1.5679095913004628,0.11690223308658587,3.0966256061454858
Mutation Count,-0.015148086917501222,0.984966068213622,0.010235474629927603,-0.03520924855683276,0.004913074721830318,0.9654033858557669,1.0049251636632905,0.0,-1.4799594024892198,0.13888408127452928,2.8480468460533235
TMB (nonsynonymous),-0.007470441228858219,0.9925573931623631,0.010652916623942544,-0.028349774142093626,0.01340889168437719,0.9720483099694773,1.0134991940392353,0.0,-0.701257833189863,0.483142123651117,1.0494804525639643
Tumor Purity,0.0027708524987794863,1.0027746948586156,0.001993257503133656,-0.001135860419276713,0.006677565416835686,0.9988647844259947,1.0066999100650451,0.0,1.3901126645319792,0.16449466814197938,2.60388727305323
Cancer Type_Breast Cancer,0.6245073405845271,1.8673257751577166,0.2633277860496995,0.10839436379844725,1.1406203173706069,1.1144871721282943,3.128708555621645,0.0,2.371596822169993,0.01771140553238351,5.819177484509368
Cancer Type_Cancer of Unknown Primary,0.37403619963012136,1.4535897689164454,0.2278609815265285,-0.07256311764382112,0.8206355169040638,0.9300070449543267,2.2719432371636845,0.0,1.6415105259545042,0.10069148390011785,3.311986424001554
Cancer Type_Colorectal Cancer,-0.13305391988338053,0.8754178884057214,0.21594464456282866,-0.5562976458808279,0.29018980611406686,0.573327801818185,1.336681174208539,0.0,-0.616148273335247,0.537796664245086,0.8948672881555594
Cancer Type_Esophagogastric Cancer,0.3266658146006979,1.3863381058051842,0.18797699098265624,-0.041762317647518865,0.6950939468489146,0.9590977140844678,2.003897324937469,0.0,1.7377968063699765,0.08224662361083482,3.6038997352415882
Cancer Type_Glioma,0.08405126931975918,1.0876846572318264,0.18211758891327293,-0.27289264590152684,0.44099518454104514,0.7611744984449217,1.5542532178817094,0.0,0.4615219750124499,0.6444241591373823,0.6339175139180654
Cancer Type_Head and Neck Cancer,0.21485125768376317,1.2396774907505372,0.1757207481186602,-0.1295550799652453,0.5592575953327716,0.8784862000942756,1.749373275196156,0.0,1.222685766957235,0.22144840482722772,2.174957489879697
Cancer Type_Melanoma,-0.4682788540874561,0.6260789146490495,0.1708620772182786,-0.8031623717589838,-0.13339533641592843,0.44791026330261996,0.8751190572815774,0.0,-2.74068337287755,0.006131155912252185,7.349625192529998
Cancer Type_Non-Small Cell Lung Cancer,0.2827239499536432,1.3267388649361789,0.13934840864947182,0.009606087697708654,0.5558418122095777,1.0096523742503114,1.7434079893479706,0.0,2.028899739105236,0.042468503356421265,4.5574629225849375
Cancer Type_Renal Cell Carcinoma,-0.9139104995245932,0.4009532269405822,0.18934217946978948,-1.2850143520397,-0.5428066470094866,0.27664661316030636,0.5811149768203004,0.0,-4.826766556103852,1.387676211109982e-06,19.458897588669995
Drug Type_Combo,0.010533644067337991,1.010589318208151,0.21546334771583373,-0.41176675744412666,0.4328340455788026,0.6624787762763988,1.541620360756,0.0,0.048888333811792466,0.9610082860155191,0.057379224614702656
Drug Type_PD-1/PDL-1,0.5450946890477282,1.7247716916335436,0.20425902504378135,0.1447543564446518,0.9454350216508045,1.155755631473153,2.573932851591334,0.0,2.6686443300651774,0.007615804964052754,7.036787752050475
Sex_Male,0.008499409694287825,1.0085356322275192,0.0901514877319381,-0.16819425941301536,0.18519307880159103,0.8451896326943501,1.2034507785312558,0.0,0.09427919503181673,0.9248873762518982,0.11265039586942836
Sample Type_Primary,-0.006837051937955503,0.9931862675259178,0.09184393782694329,-0.18684786227710026,0.17317375840118926,0.8295699356663233,1.1890726985058313,0.0,-0.07444206008281352,0.9406586425189258,0.08825681942757539
